Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Cureton, K.J., Sparling, P.B.","57216005315; 7004403569","Distance running performance and metabolic responses to running in men and women with excess weight experimentally equated",1980,"Medicine and Science in Sports and Exercise",12,"4",,284,288,,83,10.1249/00005768-198024000-00011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019164413&partnerID=40&md5=7f9dceb3c39f5f6bffb34cc93b522389",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0019164413
"Jasinskas, C.L., Wilson, B.A., Hoare, J.","24534028500; 35511330400; 7005622548","Entrainment of breathing rate to movement frequency during work at two intensities",1980,"Respiration Physiology",42,"3",,199,209,,60,10.1016/0034-5687(80)90115-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019163818&partnerID=40&md5=a68de7f1eb5bc41e12c7c77cdec56253",Article,Final,"",Scopus,2-s2.0-0019163818
"Kuipers, H., Verstappen, F.T.J., Reneman, R.S.","35592509400; 7004194911; 35475735300","Influence of therapeutic doses of amoxicillin on aerobic work capacity and some strength characteristics",1980,"The American Journal of Sports Medicine",8,"4",,274,279,,1,10.1177/036354658000800412,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019161342&partnerID=40&md5=109fb5b61613deab92a8032a8a9b601e",Article,Final,"",Scopus,2-s2.0-0019161342
"Conley, D.L., Krahenbuhl, G.S.","7006462321; 7003455130","Running economy and distance running performance of highly trained athletes",1980,"Medicine and Science in Sports and Exercise",12,"5",,357,360,,498,10.1249/00005768-198025000-00010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019160027&partnerID=40&md5=7d35eec6fc2f2535b9137be55c5dbbb8",Article,Final,"",Scopus,2-s2.0-0019160027
"Sawka, M.N., Knowlton, R.G., Glaser, R.M.","7005077416; 35476098500; 7202587090","Body temperature, respiration, and acid-base equilibrium during prolonged running",1980,"Medicine and Science in Sports and Exercise",12,"5",,370,374,,18,10.1249/00005768-198025000-00013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019142351&partnerID=40&md5=b9d3fab23c143c43b7b0ba3e875f842b",Article,Final,"",Scopus,2-s2.0-0019142351
"SESTOFT, L.","7005995308","METABOLIC ASPECTS OF THE CALORIGENIC EFFECT OF THYROID HORMONE IN MAMMALS",1980,"Clinical Endocrinology",13,"5",,489,506,,83,10.1111/j.1365-2265.1980.tb03415.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019141250&partnerID=40&md5=b091edf791dff21c46d560f11fcf59ff",Article,Final,"",Scopus,2-s2.0-0019141250
"Hickson, R.C., Rosenkoetter, M.A., Brown, M.M.","7005587959; 6603855784; 56972419400","Strength training effects on aerobic power and short-term endurance",1980,"Medicine and Science in Sports and Exercise",12,"5",,336,339,,189,10.1249/00005768-198025000-00006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019137651&partnerID=40&md5=3dfd98bad0518e5e10d3336b0d594526",Article,Final,"",Scopus,2-s2.0-0019137651
"Jaffe, MartinD., Quinn, NancyK.","7102297391; 57194992035","WARM-UP PHENOMENON IN ANGINA PECTORIS",1980,"The Lancet",316,"8201",,934,936,,71,10.1016/S0140-6736(80)92101-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019126542&partnerID=40&md5=4b4940b504f8c7886e9d84683f7585f3",Article,Final,"",Scopus,2-s2.0-0019126542
"Pollock, M.L., Jackson, A.S., Pate, R.R.","7103186548; 36067197800; 35460420800","Discriminant analysis of physiological differences between good and elite distance runners",1980,"Research Quarterly for Exercise and Sport",51,"3",,521,532,,37,10.1080/02701367.1980.10608075,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019070122&partnerID=40&md5=af32411e612b22dffc5961c715705de8",Article,Final,"",Scopus,2-s2.0-0019070122
"Puhl, J.L., Runyan, W.S.","57213063813; 6603917545","Hematological variations during aerobic training of college women",1980,"Research Quarterly for Exercise and Sport",51,"3",,533,541,,27,10.1080/02701367.1980.10608076,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019069598&partnerID=40&md5=f68f2bd13b2b29501022bc8a704dd390",Article,Final,"",Scopus,2-s2.0-0019069598
"Hilsted, J., Galbo, H., Sonne, B.","7006038002; 7004999683; 7004186905","Gastroenteropancreatic hormonal changes during exercise",1980,"American Journal of Physiology - Gastrointestinal and Liver Physiology",2,"3",,G136,G140,,74,10.1152/ajpgi.1980.239.3.g136,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019061577&partnerID=40&md5=f888a3f311a7cf123a86f3744701552a",Article,Final,"",Scopus,2-s2.0-0019061577
"Constable, S.H., Collins, R.L., Krahenbuhl, G.S.","7005962407; 7403347534; 7003455130","The specificity of endurance training on muscular power and muscle fibre size",1980,"Ergonomics",23,"7",,667,678,,3,10.1080/00140138008924781,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019044395&partnerID=40&md5=11c8dc0f769e35ac6d1681f21422b093",Article,Final,"",Scopus,2-s2.0-0019044395
"Myles, W.S., Brown, T.E., Pope, J.I.","7003839058; 57199406221; 36762016200","A reassessment of a running test as a measure of cardiorespiratory fitness",1980,"Ergonomics",23,"6",,543,547,,4,10.1080/00140138008924768,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019031707&partnerID=40&md5=dff78c2d4a92f6a176b1269cbfb15ab4",Article,Final,"",Scopus,2-s2.0-0019031707
"Suzuki, Y.","57198662468","Human physical performance and cardio-circulatory responses to hot environments during sub-maximal upright cycling",1980,"Ergonomics",23,"6",,527,542,,9,10.1080/00140138008924767,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019031706&partnerID=40&md5=e2a76869905c7a95801cd1827a300387",Article,Final,"",Scopus,2-s2.0-0019031706
"Kelly, J.M., Serfass, R.C., Stull, G.A.","55462320600; 7004263654; 7004548119","Elicitation of maximal oxygen uptake from standing bicycle ergometry",1980,"Research Quarterly for Exercise and Sport",51,"2",,315,322,,10,10.1080/02701367.1980.10605200,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0019012587&partnerID=40&md5=79cfd4601fcae983ee4398a15ec22d09",Article,Final,"",Scopus,2-s2.0-0019012587
"Elledge, J.R.","57058589900","The relationship between resting heart rate and maximal oxygen efficiency",1980,"American Corrective Therapy Journal",34,"2",,54,56,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018965433&partnerID=40&md5=e77f5b6bccaef9e86cc00905bc799258",Article,Final,"",Scopus,2-s2.0-0018965433
"Reiterer, W.","6701558376","Effects of long-term treatment with a beta-receptor blocker, pindolol, combined with a diuretic agent, clopamide, on exercise performance in hypertension",1980,"Current Medical Research and Opinion",6,"8",,552,558,,1,10.1185/03007998009109486,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018962437&partnerID=40&md5=a62d0bdbacb8d83659793f21ece57425",Article,Final,"",Scopus,2-s2.0-0018962437
"Hartley, J.P.R., Nogrady, S.G.","7202055529; 6603358633","Effect of an inhaled antihistamine on exercise-induced asthma",1980,"Thorax",35,"9",,675,679,,45,10.1136/thx.35.9.675,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018954187&partnerID=40&md5=3b503dc6544af477f61657031e2706fc",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0018954187
"Hagen, R.D., Strathman, T., Strathman, L., Gettman, L.R.","7102698269; 6506750966; 6506123923; 6602536505","Oxygen uptake and energy expenditure during horizontal treadmill running",1980,"Journal of Applied Physiology Respiratory Environmental and Exercise Physiology",49,"4",,571,575,,37,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018949412&partnerID=40&md5=768229ff0df7d7396fb0c681ff4e0784",Article,Final,"",Scopus,2-s2.0-0018949412
"Hartley, J.P.R., Davies, B.H.","7202055529; 7402928143","Cholinergic blockade in the prevention of exercise-induced asthma",1980,"Thorax",35,"9",,680,685,,24,10.1136/thx.35.9.680,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018947351&partnerID=40&md5=bef98d0f0313544269c33d18a6efc06d",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0018947351
"Fitchett, D.H., Pathe, M., Pardy, R., Despas, P.","13702997400; 56985882800; 7003588146; 6602557123","Effect of vasodilator drugs on exercise performance in cardiac failure. Comparison of hydralazine and prazosin",1980,"British Heart Journal",44,"2",,215,220,,7,10.1136/hrt.44.2.215,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018945310&partnerID=40&md5=6c3738b7e6be4ca596f9b8a81d37b376",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-0018945310
"LEWIS, S.F., NYLANDER, E., GAD, P., ARESKOG, N.‐H.","35408079200; 7003526015; 6701865555; 7003468521","Non‐autonomic component in bradycardia of endurance trained men at rest and during exercise",1980,"Acta Physiologica Scandinavica",109,"3",,297,305,,105,10.1111/j.1748-1716.1980.tb06600.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018939819&partnerID=40&md5=44e4bea300c7909850738d91768ffc3d",Article,Final,"",Scopus,2-s2.0-0018939819
"Kjekshus, J.K., Ellekjær, E., Rinde, P.","7103357258; 6602720330; 6507929342","The effect of free fatty acids on oxygen consumption in man: The free fatty acid hypothesis",1980,"Scandinavian Journal of Clinical and Laboratory Investigation",40,"1",,63,70,,14,10.3109/00365518009091528,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018923050&partnerID=40&md5=06d9e3426ae679129a3f4402d2f58d83",Article,Final,"",Scopus,2-s2.0-0018923050
"Velázquez‐Ramírez, A., Vilar‐Rojas, C., Hicks, J.J.","6503862418; 6603265341; 16143899600","Similar Effects of Prolactin and dbcAMP upon Human Spermatozoa Metabolism",1980,"International Journal of Andrology",3,"1-6",,23,31,,17,10.1111/j.1365-2605.1980.tb00092.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018920607&partnerID=40&md5=8e8e94f35e6718abbbc38826613c18ce",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0018920607
"Léger, L.A., Seliger, V., Brassard, L.","7201826902; 7004076039; 6603403118","Backward extrapolation of vo2 max values from the o2 recovery curve",1980,"Medicine and Science in Sports and Exercise",12,"1",,24,27,,44,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018909054&partnerID=40&md5=12c82946ca69deaca95723e2e19ab50e",Article,Final,"",Scopus,2-s2.0-0018909054
"Savin, W.M., Haskell, W.L., Schroeder, J.S., Stinson, E.B.","6603744204; 56612991500; 7403195008; 35428945100","Cardiorespiratory response of cardiac transplant patients to graded, symptom-limited exercise",1980,"Circulation",62,"1",,55,60,,160,10.1161/01.CIR.62.1.55,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018908265&partnerID=40&md5=c6a6e81f3a7031b32ddfc356ea808cc2",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-0018908265
"Delage, F., Rouleau, J.R., Labelle, J.-L., Dagenais, G.-R.","57189440185; 35243189100; 7006206099; 7006205335","Effects of metoprolol on effort angina during the postprandial state",1980,"Clinical Pharmacology and Therapeutics",27,"6",,763,768,,2,10.1038/clpt.1980.107,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018894666&partnerID=40&md5=661658e48c5bf84f87d051b52f65840d",Article,Final,"",Scopus,2-s2.0-0018894666
"Wilmore, J.H., Davis, J.A., O’Brien, R.S., Vodak, P.A., Walder, G.R., Amsterdam, E.A.","7101646034; 56917455200; 56772727700; 6507649796; 55380485300; 7102278510","Physiological alterations consequent to 20-week conditioning programs of bicycling, tennis, and jogging",1980,"Medicine and Science in Sports and Exercise",12,"1",,1,8,,37,10.1249/00005768-198021000-00002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018892490&partnerID=40&md5=66b40131fee4858b31915f9e414fdf6e",Article,Final,"",Scopus,2-s2.0-0018892490
"Belman, M.J., Mittman, C.","7003386514; 7004104648","Ventilatory muscle training improves exercise capacity in chronic obstructive pulmonary disease patients",1980,"American Review of Respiratory Disease",121,"2",,273,280,,117,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018889518&partnerID=40&md5=e0147fc7968db9920a2ea4533b3736cd",Article,Final,"",Scopus,2-s2.0-0018889518
"Dicker, S.G., Lofthus, G.K., Thornton, N.W., Brooks, G.A.","7004431726; 7801431011; 56546685300; 7202058198","Respiratory and heart rate responses to tethered controlled frequency breathing swimming",1980,"Medicine and Science in Sports and Exercise",12,"1",,20,23,,40,10.1249/00005768-198021000-00005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018883869&partnerID=40&md5=5581bc27723bb89287d2462a3f67b5f6",Article,Final,"",Scopus,2-s2.0-0018883869
"Deutsch, D.T., Knowlton, R.G.","7102664277; 35476098500","Circulorespiratory response to prolonged treadmill and bicycle exercise",1980,"Archives of Physical Medicine and Rehabilitation",61,"7",,298,303,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018880904&partnerID=40&md5=35a51e3168ae5dea5a32819b93efff77",Article,Final,"",Scopus,2-s2.0-0018880904
"Heldt, G.P., McIlroy, M.B., Hansen, T.N., Tooley, W.H.","7004065987; 7004235083; 55434591100; 7004024013","Exercise performance of the survivors of hyaline membrane disease",1980,"The Journal of Pediatrics",96,"6",,995,999,,24,10.1016/S0022-3476(80)80624-X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018867534&partnerID=40&md5=21e4decd38a71925bc377b43c20c15cb",Article,Final,"",Scopus,2-s2.0-0018867534
"Weber, K.T., West, J.S., Kinasewitz, G.T., Janicki, J.S., Reichek, N., Fishman, A.P.","7402658564; 7402746894; 7004198332; 7005910491; 7006220300; 7103330001","Long term trimazosin therapy in cardiac failure",1980,"American Journal of Cardiology",45,"2",,411,,,,10.1016/0002-9149(80)90752-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018863327&partnerID=40&md5=654ad0412d33a87e98e22a169577de6e",Article,Final,"",Scopus,2-s2.0-0018863327
"RUSKO, H., RAHKILA, P., KARVINEN, E.","7004018248; 7006100078; 36878388700","Anaerobic threshold, skeletal muscle enzymes and fiber composition in young female cross‐country skiers",1980,"Acta Physiologica Scandinavica",108,"3",,263,268,,102,10.1111/j.1748-1716.1980.tb06532.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018862855&partnerID=40&md5=0826a62fb0facd4c0207a8024b9f160b",Article,Final,"",Scopus,2-s2.0-0018862855
"Majid, P.A., Schreuder, J.E., De Feyter, P.J., Roos, J.P.","7004563346; 7006693595; 35370630400; 7202138178","Clinical, electrocardiographic, and hemodynamic effects of ICI 89,406, a new cardioselective beta-adrenoceptor antagonist with intrinsic sympathomimetic activity, in patients with angina pectoris",1980,"Journal of Cardiovascular Pharmacology",2,"4",,435,444,,11,10.1097/00005344-198007000-00010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018856984&partnerID=40&md5=8a196f91e9ba4881531b82151d79a609",Article,Final,"",Scopus,2-s2.0-0018856984
"Dua, G.L., Sen Gupta, J.","6602684401; 7004656254","A study of physical work capacity of sea level residents on prolonged stay at high altitude and comparison with high altitude native residents",1980,"Indian Journal of Physiology and Pharmacology",24,"1",,15,24,,14,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018856714&partnerID=40&md5=a8911d029f98f611ec2e7d7f212f2f6a",Article,Final,"",Scopus,2-s2.0-0018856714
"Hanson, E., Eriksson, B.O., Sorensen, S.E.","57220533853; 7201734507; 7201971501","Intra-arterial blood pressures at rest and during exercise after surgery for coarctation of the aorta",1980,"European Journal of Cardiology",11,"4",,245,257,,28,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018854656&partnerID=40&md5=94aa54f2f64752cf2821a9b45d31536f",Article,Final,"",Scopus,2-s2.0-0018854656
"Lundberg, A.","57175033100","Wheelchair driving. Evaluation of a new training outfit",1980,"Scandinavian Journal of Rehabilitation Medicine",12,"2",,67,72,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018851692&partnerID=40&md5=be6033cf88140b6830c8bb6e4999df43",Article,Final,"",Scopus,2-s2.0-0018851692
"Orsmond, G.S., Bessinger Jr., F.B., Moller, J.H.","7004762515; 6602239913; 7402922483","Rest and exercise hemodynamics in children before and after aortic valvotomy",1980,"American Heart Journal",99,"1",,76,86,,10,10.1016/0002-8703(80)90316-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018838486&partnerID=40&md5=2ae6f622c8a4148f081723e3f91f1c04",Article,Final,"",Scopus,2-s2.0-0018838486
"Hemmingsen, R., Chapman, A.G.","7006306666; 7201567759","Cerebral Metabolic State During the Ethanol Withdrawal Reaction in the Rat",1980,"Journal of Neurochemistry",34,"6",,1561,1566,,20,10.1111/j.1471-4159.1980.tb11244.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018836619&partnerID=40&md5=73df762574b7bdc6b69815601e972361",Article,Final,"",Scopus,2-s2.0-0018836619
"Lambert, J., Ferguson, R.J., Gervais, A., Gilbert, G.","7401837036; 7403152364; 7005988538; 57197043339","Exercise capacity, residual abnormalities and activity habits following total correction for tetralogy of fallot",1980,"Cardiology (Switzerland)",66,"2",,120,131,,21,10.1159/000170857,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018833054&partnerID=40&md5=a873fa1e08ab1b7d3cc64d05132266d3",Article,Final,"",Scopus,2-s2.0-0018833054
"Lee, K.H., Gutierrez, I., Smiehorowski, T.","57196252972; 16156541300; 6508008166","Pedalator assessment of occlusive arterial disease of the lower extremities",1980,"Archives of Physical Medicine and Rehabilitation",61,"6",,265,269,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018829640&partnerID=40&md5=73216ecb6b37c3e7878f69bfad6db160",Article,Final,"",Scopus,2-s2.0-0018829640
"Golden St, F.C., Hampton, I.F.G., Smith, D.","6508335604; 7004203114; 57218079910","Lean long distance swimmers",1980,"Journal of the Royal Naval Medical Service",66,"1",,26,30,,8,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018829038&partnerID=40&md5=207a255c872b195019263bce6f513ebd",Article,Final,"",Scopus,2-s2.0-0018829038
"Gettman, L.R., Ayres, J.J., Pollock, M.L., Durstine, J.L., Grantham, W.","6602536505; 7201390457; 7103186548; 7004258782; 55381880800","Physiologic effects on adult men of circuit strength training and jogging",1979,"Archives of Physical Medicine and Rehabilitation",60,"3",,115,120,,59,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018379910&partnerID=40&md5=7abf5bc387b993ad11ae5fc7db70327d",Article,Final,"",Scopus,2-s2.0-0018379910
"Holland, J.C., Cherry, R.B.","57196987396; 57213367712","Aerobic capacity, body composition, and heart rate response curves of high school basketball officials",1979,"Journal of Sports Medicine and Physical Fitness",19,"1",,63,72,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018774032&partnerID=40&md5=0e21c0d6f06c06e233d15c95c6f7c5c5",Article,Final,"",Scopus,2-s2.0-0018774032
"Mayhew, J.L., Piper, F.C., Etheridge, G.L.","7103359908; 6701721056; 6602551348","Oxygen cost and energy requirement of running in trained and untrained males and females",1979,"Journal of Sports Medicine and Physical Fitness",19,"1",,39,44,,11,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018774031&partnerID=40&md5=981beec673ef1261e2384d0c9bc896bf",Article,Final,"",Scopus,2-s2.0-0018774031
"Vaccaro, P., Clarke, D.H., Wrenn, J.P.","7102831363; 7403502752; 7003600390","Physiological profiles of elite women basketball players",1979,"Journal of Sports Medicine and Physical Fitness",19,"1",,45,54,,16,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018758615&partnerID=40&md5=a27a789a0b6df7665865d3c4db28e0c3",Article,Final,"",Scopus,2-s2.0-0018758615
"Dressendorfer, R.H.","7003696021","Oxygen requirements of postcoronary and competitive marathon runners during road running",1979,"Journal of Sports Medicine and Physical Fitness",19,"1",,15,22,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018757577&partnerID=40&md5=41f374e3c43e20a833c87a7d293832c8",Article,Final,"",Scopus,2-s2.0-0018757577
"Jooste, P.L., Wolfswinkel, J.M., Schoeman, J.J., Strydom, N.B.","7006755524; 57494840700; 7005814118; 7006062242","Epileptic type convulsions and magnesium deficiency",1979,"Aviation Space and Environmental Medicine",50,"7",,734,735,,12,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018756962&partnerID=40&md5=7c152f3966d73dc3d6a5bf383de08303",Article,Final,"",Scopus,2-s2.0-0018756962
"Greenleaf, J.E., Montgomery, L.D., Brock, P.J., Van Beaumont, W.","20033970700; 7102056740; 7005783625; 6603963851","Limb blood flow: Rest and heavy exercise in sitting and supine positions in man",1979,"Aviation Space and Environmental Medicine",50,"7",,702,707,,7,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018749381&partnerID=40&md5=33ece00f56198882afe1bb3bf381ae5c",Article,Final,"",Scopus,2-s2.0-0018749381
"Nast, P.F., Mullin, J.P.","6506595341; 7102294627","Lower extremity exercise and myocardial oxygen consumption",1979,"Journal of Sports Medicine and Physical Fitness",19,"2",,143,149,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018650021&partnerID=40&md5=838d6de90810ed96d111060ad6e6d487",Article,Final,"",Scopus,2-s2.0-0018650021
"Pickett, W.C., Austen, K.F., Goetzl, E.J.","7102833853; 35405976400; 35508267900","Inhibition by non-steroidal anti-inflammatory agents of the ascorbate-induced elevations of platelet cyclic GMP levels",1979,"Journal of Cyclic Nucleotide Research",5,"3",,197,209,,6,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018647104&partnerID=40&md5=fcc94d49505013d82d03fc1e9d870727",Article,Final,"",Scopus,2-s2.0-0018647104
"Johnson, D.J., Oliver, R.A., Terry, J.W.","7406823226; 7401914447; 7103365809","Regression equation for prediction of performance in the twelve minute run walk test",1979,"Journal of Sports Medicine and Physical Fitness",19,"2",,165,170,,5,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018645842&partnerID=40&md5=778d35f39b36811c7b1ed193031de8e9",Article,Final,"",Scopus,2-s2.0-0018645842
"Weltman, A., Katch, V.L.","56091806600; 7004527985","Relationship between the onset of metabolic acidosis (anaerobic threshold) and maximal oxygen uptake",1979,"Journal of Sports Medicine and Physical Fitness",19,"2",,135,142,,28,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018645841&partnerID=40&md5=468c109b512fdba0c7837a08c547735f",Article,Final,"",Scopus,2-s2.0-0018645841
"Perez, H.R.","56231502300","The competitive junior cyclist: Indices of maximal performance",1979,"Journal of Sports Medicine and Physical Fitness",19,"2",,213,216,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018645701&partnerID=40&md5=38b3bc3b1a2ae6d36cdd18307858a8cd",Article,Final,"",Scopus,2-s2.0-0018645701
"Fu, F.H.","56258099700","The effects of two modes of training on post-myocardial infarction patients",1979,"Journal of Sports Medicine and Physical Fitness",19,"3",,291,296,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018635917&partnerID=40&md5=bf0f6241c1ad9f94ec8a9a21883e8b0e",Article,Final,"",Scopus,2-s2.0-0018635917
"Hagberg, J.M., Mullin, J.P., Bahrke, M., Limburg, J.","7005010766; 7102294627; 6603862136; 36772103400","Physiological profiles and selected psychological characteristics of national class American cyclists",1979,"Journal of Sports Medicine and Physical Fitness",19,"4",,341,346,,29,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018632220&partnerID=40&md5=aad3936c92d3b6d53bb96b284fc268a3",Article,Final,"",Scopus,2-s2.0-0018632220
[No author name available],[No author name available],"American College of Sports Medicine opinion statement on the participation of the female athlete in long-distance running.",1979,"Medicine and science in sports",11,"4",,ix,xi,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018624253&partnerID=40&md5=eaa2372396673ce18d1a0a11b5611743",Article,Final,"",Scopus,2-s2.0-0018624253
"Mayuzumi, M., Tsujita, J., Tanaka, N., Hori, S.","7004164925; 35577759600; 7404271762; 7403293152","Physiological reaction of women during exercise and recovery, in a comfortable environment and a hot environment",1979,"Journal of Human Ergology",8,"2",,135,144,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018622093&partnerID=40&md5=c6bc5a87e919746b4c45d8dfafc94d8b",Article,Final,"",Scopus,2-s2.0-0018622093
"Stransky, A.W., Mickelson, R.J., Van Fleet, C., Davis, R.","6603678216; 7004566163; 6701739755; 57199076311","Effects of a swimming training regimen on hematological, cardiorespiratory and body composition changes in young females",1979,"Journal of Sports Medicine and Physical Fitness",19,"4",,347,354,,14,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018607452&partnerID=40&md5=f7f1dca456fd78ca2c79278f81592067",Article,Final,"",Scopus,2-s2.0-0018607452
"Gatch, W., Byrd, R.","6505832143; 7101748575","Endurance training and cardiovascular function in 9-and 10-year-old boys",1979,"Archives of Physical Medicine and Rehabilitation",60,"12",,574,577,,13,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018604513&partnerID=40&md5=3a5c3c8afe750260d1acfe19cfa53344",Article,Final,"",Scopus,2-s2.0-0018604513
"Tanaka, M., Volle, M.A., Brisson, G.R., Dion, M.","57220812946; 56936767900; 7006646977; 7005950492","Body temperature and heart rate relationships during submaximal bicycle ergometer exercises",1979,"European Journal of Applied Physiology and Occupational Physiology",42,"4",,263,270,,5,10.1007/BF00423296,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018604496&partnerID=40&md5=192b346fee99b7b434d38583fe262731",Article,Final,"",Scopus,2-s2.0-0018604496
"Sinclair, J.D., Sarelius, I.H.","57200830119; 7005976961","The marathon man: The physiology of the long-distance runner",1979,"New Zealand Medical Journal",90,"647",,383,387,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018593002&partnerID=40&md5=a5552381fb1b20e5d45e5b0060805b41",Article,Final,"",Scopus,2-s2.0-0018593002
"Ramsey, J.M., William Pipoly Jr., S.","7201741421; 16501720200","Response of erythrocytic 2,3-diphosphoglycerate to strenuous exercise",1979,"European Journal of Applied Physiology and Occupational Physiology",40,"4",,227,233,,12,10.1007/BF00421514,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018415047&partnerID=40&md5=cf4283495575023bd77e6a89261bf33e",Article,Final,"",Scopus,2-s2.0-0018415047
"Ingjer, F., StrØmme, S.B.","6603670603; 7004058241","Effects of active, passive or no warm-up on the physiological response to heavy exercise",1979,"European Journal of Applied Physiology and Occupational Physiology",40,"4",,273,282,,55,10.1007/BF00421519,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018409140&partnerID=40&md5=38b107f1bb163f1e37b4a48dfd0d1535",Article,Final,"",Scopus,2-s2.0-0018409140
"Jordan, L., Merrill, E.G.","7102824110; 7102503539","Relative efficiency as a function of pedalling rate for racing cyclists [proceedings]",1979,"Journal of Physiology",296,"",,49P,50P,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018539751&partnerID=40&md5=10990da64a153ea25b35b0c9330e9748",Article,Final,"",Scopus,2-s2.0-0018539751
"Riopel, D.A., Taylor, A.B., Hohn, A.R.","6603843732; 7405892349; 7004447676","Blood pressure, heart rate, pressure-rate product and electrocardiographic changes in healthy children during treadmill exercise",1979,"The American Journal of Cardiology",44,"4",,697,704,,82,10.1016/0002-9149(79)90290-X,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018699832&partnerID=40&md5=8d03bab01156fdbbc6b34bf22f4bc2e6",Article,Final,"",Scopus,2-s2.0-0018699832
